Ligand,LXZ_Classification,SMILES,Formal_Charge,Notes,Index
CH₂SiMe₃ (trimethylsilylmethyl),X,[CH2-][Si](C)(C)C,-1,,0
"[9]aneS₃ (1,4,7-trithiocyclononane-κ²S)",L2,C1CSCCSCCS1,0,,1
CH(SiMe₃)₂ (bistrimethylsilylmethyl),X,[CH-]([Si](C)(C)C)[Si](C)(C)C,-1,,2
Oep (octaethylporphyrin),L2X2,"C12C=C3N=C(C=C4[N-]C(=CC5=NC(=CC(=C(CC)C=1CC)[N-]2)C(CC)=C5CC)C(CC)=C4CC)C(CC)=C3CC |c:1,5,8,12|",-2,,3
Cl (chloro),X,[Cl-],-1,,4
Tpp (tetraphenylporphyrin),L2X2,"C1=CC2=C(C3C=CC=CC=3)C3=NC(C=C3)=C(C3C=CC=CC=3)C3[N-]C(=CC=3)C(C3C=CC=CC=3)=C3N=C(C=C3)C(C3C=CC=CC=3)=C1[N-]2 |c:2,38,t:16,52|",0,,5
"C₆H₃Mes₂ (2,6-dimesityl-phenyl)",X,C1(C2C(C)=CC(C)=CC=2C)C=CC=C(C2C(C)=CC(C)=CC=2C)[C-]=1,0,,6
Thf (tetrahydrofuran),L,O1C=CC=C1,0,,7
"SC₆H₂Buᵗ₃-2,4,6 (tri-t-butylphenylthio)",X,C1C(C(C)(C)C)=C([S-])C(C(C)(C)C)=CC=1C(C)(C)C,-1,,8
Me (methyl),X,[CH3-],-1,,9
CH₂Buᵗ (t-butylmethyl),X,[CH2-]C(C)(C)C,-1,,10
Ph (phenyl),X,[C-]1C=CC=CC=1,-1,,11
OSO₂Tol (p-tolyl-sulfonato),X,[O-]S(C1C=CC(C)=CC=1)(=O)=O,-1,,12
OH₂ (aqua),L,O,0,,13
Bz (phenylmethanido-κC),X,C1C=C([CH2-])C=CC=1,-1,,14
"Tp* (hydrotris(3,5-dimethylpyrazolyl)borato-κ³N)",L2X,[BH-](N1C(C)=CC(C)=N1)(N1C(C)=CC(C)=N1)N1C(C)=CC(C)=N1,-1,,15
"[9]aneN₃-1,4,7-Me₃ (1,4,7-trimethyl-1,4,7-triazacyclononane-κ³N)",L3,C1N(C)CCN(C)CCN(C)C1,0,"trimethyl TACN,Me3TACN,TACNMe3,(CH3)3TACN,TACN(CH3)3",16
Tpm (tris(pyrazolyl)methane-κ³N),L3,C(N1N=C(C)C=C1C)(N1N=C(C)C=C1C)N1N=C(C)C=C1C,0,,17
F (fluoro),X,[F-],-1,,18
"[6]aneN₃-1,3,5-Me₃ (1,3,5-trimethyl-1,3,5-triazacyclohexane-κ³N)",L3,C1N(C)CN(C)CN1C,0,,19
Diglyme (diethylene glycol dimethyl ether-κ³O),L3,C(OC)COCCOC,0,,20
NCMe (acetonitrile),L,N#CC,0,,21
Dme (dimethoxyethane),L2,O(C)CCOC,0,,22
"OC₆H₃Me₂-2,6 (dimethylphenoxy-2,6)",X,C1C=C(C)C([O-])=C(C)C=1,-1,,23
Dmso (dimethylsulfoxide-κO),L,S(C)(C)=O,0,,24
Br (bromo),X,[Br-],-1,,25
Terpy (terpyridine-κ³N),L3,C1(C2N=CC=CC=2)C=CC=C(C2C=CC=CN=2)N=1,0,,26
NCS (isothiocyanato-κN),X,[N-]=C=S,-1,,27
Acac (acetylacetonato),LX,C/C(=C/C(C)=O)/[O-],-1,,28
N(SiMe₃)₂ (bis(trimethylsilyl)amino: planar),LX,[N-]([Si](C)(C)C)[Si](C)(C)C,-1,,29
C₅(SiMe₃)Me₄ (η⁵-tetramethyl-trimethylsilyl-cyclopentadienyl),L2X,[C-]1([SiH3])C(C)=C(C)C(C)=C1C,-1,,30
Cp (η⁵-cyclopentadienyl),L2X,[CH-]1C=CC=C1,-1,,31
Cp* (η⁵-pentamethylcyclopentadienyl),L2X,[C-]1(C)C(C)=C(C)C(C)=C1C,-1,,32
C₅HMe₄ (η⁵-tetramethylcyclopentadienyl),L2X,[CH-]1C(C)=C(C)C(C)=C1C,-1,,33
C₅H₃(SiMe₃)₂ (η⁵-bis(trimethylsilyl)cyclopentadienyl),L2X,[CH-]1C([Si](C)(C)C)=CC=C1[Si](C)(C)C,-1,,34
C₅H₄Me (η⁵-methylcyclopentadienyl),L2X,[C-]1(C)C=CC=C1,-1,,35
C₉H₅(SiMe₃)₂ (η⁵-bis{trimethylsilyl}indenyl),L2X,C1C=CC2=C([Si](C)(C)C)[CH-]C([Si](C)(C)C)=C2C=1,-1,,36
OPPh₃ (triphenylphosphane oxide),L,P(C1C=CC=CC=1)(C1C=CC=CC=1)(C1C=CC=CC=1)=O,0,,37
"C(3,5-Me₂Pz)₃ (tris(3,5-dimethylpyrazolyl)methanido-κ³N)",L3,C(N1N=C(C)C=C1C)(N1N=C(C)C=C1C)N1N=C(C)C=C1C,0,,38
C₃H₅ (allyl-κC),X,[CH2-]C=C,-1,,39
